from	to	weight
5087100.0	965051.0	0.000618978469850659
5043552.0	5087100.0	7.83248047260543e-07
5043552.0	965051.0	0.0006197617178979195
4091019.0	965051.0	0.0007117069061598017
4106228.0	3859027.0	0.001055659094497671
4106228.0	5701.0	0.0005278300696319106
2825806.0	3859027.0	0.001055659094497671
2825806.0	5701.0	0.0005278300696319106
5701.0	3859027.0	0.0005278290248657604
4091019.0	3859027.0	0.000527831201455085
3797570.0	3859027.0	0.001055659094497671
3797570.0	5701.0	0.0005278300696319106
6737284.0	5701.0	0.0022340408374305052
4769837.0	5759952.0	0.0008531521367833312
6737284.0	5759952.0	0.0025593629045819258
2676399.0	44853.0	0.0004936642592973746
1545088.0	44853.0	0.0004936642592973746
7971387.0	44853.0	0.0004936642592973746
7804896.0	4830296.0	0.0013491258937133883
4108663.0	4830296.0	-0.0012020071498852235
2319844.0	1447509.0	0.0013926734853371666
6429699.0	4452553.0	0.0007975921876318046
6060650.0	4452553.0	0.0007975921876318046
6028504.0	4452553.0	1.9901382623246575e-08
2945701.0	4452553.0	9.008122979174487e-05
5517143.0	1479535.0	0.0007074981536721676
2945701.0	1479535.0	0.0014150258785472491
6947598.0	1479535.0	0.0021225368363873088
58186.0	157247.0	0.0010444812532493086
989185.0	157247.0	0.0010444812532493086
5269827.0	1491895.0	0.0026378381243627198
5455057.0	1491895.0	0.002637835225120561
2248054.0	1518344.0	0.0015097132783066871
3427347.0	1518344.0	0.001006479983938476
7831719.0	1518344.0	0.002012953390463437
4593347.0	3858806.0	1.0227334772692012e-08
7831719.0	3858806.0	0.0010343088262975827
3732075.0	3858806.0	1.0437822589321605e-08
3732075.0	4593347.0	2.104878166295926e-10
7831719.0	4593347.0	0.00103429859896281
2748984.0	4593347.0	0.0015094298995911425
2571330.0	1506147.0	0.00047514736232556623
2748984.0	1506147.0	0.0009502786629538987
2295520.0	1506147.0	0.0009502794964527121
2295520.0	2571330.0	0.00047513213412714593
3952775.0	2571330.0	0.0
3813825.0	3066972.0	0.0010317699648308648
3813825.0	118068.0	0.000515884575817077
3310749.0	3066972.0	0.0010317699648308648
3310749.0	118068.0	0.000515884575817077
118068.0	3066972.0	0.0005158853890137878
3952775.0	3066972.0	0.0010317699648308648
2790092.0	574632.0	0.0006965419588115018
2790092.0	1059101.0	0.0006965360963815469
1904141.0	1059101.0	0.0013930717828459166
1904141.0	1059101.0	0.0013930717828459166
1059101.0	574632.0	5.862429954895179e-09
1904141.0	574632.0	0.0013930776452758717
4354201.0	574632.0	0.0006965419588115018
4354201.0	1059101.0	0.0006965360963815469
1904141.0	1059101.0	0.0013930717828459166
2856088.0	574632.0	0.0006965419588115018
2856088.0	1059101.0	0.0006965360963815469
1904141.0	1059101.0	0.0013930717828459166
944867.0	965051.0	0.0011729499957799725
1847373.0	965051.0	0.0015639337971629704
1847373.0	965051.0	0.0015639337971629704
4961615.0	965051.0	0.0007044008668288063
600082.0	1341417.0	2.802238939730948e-08
4961615.0	1341417.0	3.1254637807205145e-08
1862514.0	2847956.0	0.000565339413665089
4303068.0	2847956.0	0.002826692407393361
4303068.0	2847956.0	0.002826692407393361
