from	to
7543076.0	157247.0
9964622.0	19068.0
7485096.0	519413.0
10881490.0	1447509.0
7929767.0	463319.0
7131052.0	1011527.0
8855315.0	1491895.0
3539826.0	1353011.0
5506388.0	3711988.0
8910194.0	4281779.0
10183376.0	1353011.0
9865676.0	1491895.0
7852240.0	4281779.0
6599163.0	463319.0
4526506.0	4281779.0
8911684.0	1906356.0
1391264.0	519413.0
8864377.0	1906356.0
7226603.0	519413.0
7724838.0	3711988.0
7598701.0	1011527.0
7124969.0	3711988.0
8665345.0	2801559.0
5042517.0	1491895.0
8286219.0	2801559.0
4509083.0	1353011.0
5260450.0	3711988.0
2713831.0	4281779.0
8217790.0	1491895.0
6065078.0	965051.0
7973076.0	2801559.0
5414111.0	1906356.0
7727773.0	519413.0
1993983.0	19068.0
6121338.0	519413.0
7182492.0	519413.0
4139857.0	2801559.0
7033012.0	1011527.0
5734762.0	462627.0
6777880.0	1906356.0
6811846.0	1175966.0
6679425.0	1906356.0
6819586.0	1906356.0
6758119.0	3711988.0
1867071.0	519413.0
5645766.0	462627.0
5744052.0	2801559.0
1282166.0	4281779.0
4035296.0	2801559.0
5076511.0	462627.0
3632340.0	4281779.0
4109878.0	1175966.0
5841700.0	1175966.0
4587428.0	1447509.0
4464905.0	387194.0
4495602.0	1491895.0
4749489.0	42139.0
6054234.0	519413.0
5904458.0	1906356.0
5980603.0	4281779.0
5912608.0	19068.0
2710972.0	1353011.0
5737163.0	1447509.0
5500958.0	1175966.0
2030864.0	462627.0
5673416.0	1447509.0
387194.0	1353011.0
5667029.0	1906356.0
3920645.0	462627.0
4428307.0	1906356.0
4820452.0	2801559.0
5505603.0	463319.0
5455057.0	1491895.0
3371372.0	1491895.0
2936329.0	1175966.0
4593946.0	114251.0
4212356.0	1011527.0
4932091.0	965051.0
4909783.0	1491895.0
3662531.0	463319.0
4756524.0	1491895.0
4708204.0	463319.0
5036822.0	1491895.0
4558489.0	519413.0
4975513.0	1491895.0
560612.0	519413.0
2175642.0	3711988.0
4311373.0	519413.0
1898904.0	519413.0
2255701.0	42139.0
4778005.0	463319.0
1547007.0	1491895.0
1707106.0	42139.0
3873526.0	19068.0
2569524.0	14104.0
1996152.0	114251.0
2441157.0	965051.0
3740256.0	1491895.0
3759362.0	114251.0
3995544.0	157247.0
2312801.0	1011527.0
4127254.0	965051.0
4214528.0	1011527.0
3715917.0	1491895.0
3621306.0	1011527.0
989185.0	157247.0
2753864.0	42139.0
1638362.0	19068.0
3842025.0	1175966.0
1269091.0	42139.0
2141665.0	19068.0
2676430.0	14104.0
3513466.0	114251.0
3272713.0	1353011.0
3140335.0	157247.0
2748984.0	965051.0
1136379.0	1353011.0
2505027.0	114251.0
1849060.0	1491895.0
3117548.0	14104.0
935573.0	19068.0
546509.0	965051.0
2905674.0	14104.0
2895494.0	462627.0
2828701.0	1353011.0
2876983.0	19068.0
2722799.0	14104.0
2789428.0	1447509.0
2680503.0	114251.0
1214293.0	1491895.0
2435004.0	965051.0
2107544.0	14104.0
1706121.0	42139.0
1559953.0	1353011.0
1847373.0	965051.0
1807100.0	1447509.0
997907.0	1175966.0
1417075.0	519413.0
451959.0	42139.0
1062631.0	42139.0
559032.0	157247.0
291724.0	157247.0
